smiles,logp
Cc1cc2ccccc2cc1C,-4.72
CN(C)C(=O)NC1CCCCCCC1,-2.218
Oc1cccc(c1)N(=O)=O,-1.01
CCCCCCCCCC(=O)OCC,-4.1
CCC(C)CC,-3.68
CC34CCC1C(CCc2cc(O)ccc12)C3CCC4(O)C#C,-4.3
BrCBr,-1.17
OCC1OC(OC2C(O)C(O)C(O)OC2CO)C(O)C(O)C1O,-0.244
CCCCCCCCCCCCCCCC,-8.4
CC12CCC3C(CCc4cc(O)ccc34)C2CCC1=O,-3.955
CCc1ccccn1,0.51
CC34CC(=O)C1C(CCC2=CC(=O)CCC12C)C3CCC4(=O),-3.48
O=C1CNC(=O)N1,-0.4
CC(=O)OCC(COC(=O)C)OC(=O)C,-0.6
c1(OC)ccc(CC=C)cc1,-2.92
CCCCCCCO,-1.81
CCC(O)(CC)CC,-0.85
Oc1ccc(C=O)cc1,-0.96
Clc1ccc2ccccc2c1,-4.14
c1cc2cccc3c4cccc5cccc(c(c1)c23)c54,-8.804
Clc1ccc(Br)cc1,-3.63
Fc1cccc(F)c1C(=O)NC(=O)Nc2cc(Cl)c(F)c(Cl)c2F,-7.28
C1CCCCC1,-3.1
CON(C)C(=O)Nc1ccc(Cl)c(Cl)c1,-3.592
CCC1(CCC(C)C)C(=O)NC(=O)NC1=O,-2.468
Oc1cc(Cl)cc(Cl)c1,-1.34
Clc1cccc2ccccc12,-3.93
Cc1cccc2ccccc12,-3.7
c1ccc2cnccc2c1,-1.45
OC(c1ccc(Cl)cc1)(c2ccc(Cl)cc2)C(Cl)(Cl)Cl,-5.666
CCCCCBr,-3.08
CCc1ccccc1,-2.77
C1c2ccccc2c3ccccc13,-5
CCCCCCBr,-3.81
O=C1N(COC(=O)CCC)C(=O)C(N1)(c2ccccc2)c3ccccc3,-5.071
CCCC1CCCC1,-4.74
CCCCCCCCC(=O)OCC,-3.8
C1CCC2CCCCC2C1,-5.19
CC(C)O,0.43
CCCCC(C)O,-0.89
CCSCc1ccccc1OC(=O)NC,-2.09
COC(=O)Nc2nc1ccc(cc1[nH]2)C(=O)c3ccccc3,-3.88
O=C1NC(=O)NC(=O)C1(C(C)C)C(C)C,-2.766
ClC1C=CC2C1C3(Cl)C(=C(Cl)C2(Cl)C3(Cl)Cl)Cl,-6.317
O2c1cc(C)ccc1N(C)C(=O)c3cc(N)cnc23,-3.043
CCC(C)CO,-0.47
CCC#CCC,-1.99
CCC(C)(C)CO,-1.04
O2c1ccccc1N(C)C(=O)c3cccnc23,-3.672
ClC(Cl)(Cl)C(Cl)(Cl)Cl,-3.67
